Title,Rating,Video Link,Muscle Group,Equipment
Cable Reverse Crunch,8.2,https://www.bodybuilding.com/exercises/detail/view/name/cable-reverse-crunch,Abdominals,Cable
Cable Rope Overhead Triceps Extension,8.1,https://www.bodybuilding.com/exercises/detail/view/name/cable-rope-overhead-triceps-extension,Triceps,Cable
Cable Rope Rear-Delt Rows,8.4,https://www.bodybuilding.com/exercises/detail/view/name/cable-rope-rear-delt-rows,Shoulders,Cable
Cable Russian Twists,8.1,https://www.bodybuilding.com/exercises/detail/view/name/cable-russian-twists,Abdominals,Cable
Cable Shoulder Press,8.1,https://www.bodybuilding.com/exercises/detail/view/name/cable-shoulder-press,Shoulders,Cable
Calf Press,8.5,https://www.bodybuilding.com/exercises/detail/view/name/calf-press,Calves,Machine
Calf Press On The Leg Press Machine,8.7,https://www.bodybuilding.com/exercises/detail/view/name/calf-press-on-the-leg-press-machine,Calves,Machine
Calf-Machine Shoulder Shrug,8.7,https://www.bodybuilding.com/exercises/detail/view/name/calf-machine-shoulder-shrug,Traps,Machine
Car Drivers,9,https://www.bodybuilding.com/exercises/detail/view/name/car-drivers,Shoulders,Barbell
Chain Handle Extension,8.3,https://www.bodybuilding.com/exercises/detail/view/name/chain-handle-extension,Triceps,Other
Chair Squat,8.8,https://www.bodybuilding.com/exercises/detail/view/name/chair-squat,Quadriceps,Machine
Chest Push (multiple response),8.3,https://www.bodybuilding.com/exercises/detail/view/name/chest-push-multiple-response,Chest,Medicine Ball
Chin-Up,9.1,https://www.bodybuilding.com/exercises/detail/view/name/chin-up,Lats,Body Only
Clam,8.8,https://www.bodybuilding.com/exercises/detail/view/name/clam,Abductors,Body Only
Clean,8.5,https://www.bodybuilding.com/exercises/detail/view/name/clean,Hamstrings,Barbell
Clean and Jerk,9.3,https://www.bodybuilding.com/exercises/detail/view/name/clean-and-jerk,Shoulders,Barbell
Clean and Press,9.4,https://www.bodybuilding.com/exercises/detail/view/name/clean-and-press,Shoulders,Barbell
Clean Deadlift,9.4,https://www.bodybuilding.com/exercises/detail/view/name/clean-deadlift,Hamstrings,Barbell
Clean from Blocks,9.5,https://www.bodybuilding.com/exercises/detail/view/name/clean-from-blocks,Quadriceps,Barbell
Clock Push-Up,8.4,https://www.bodybuilding.com/exercises/detail/view/name/clock-push-up,Chest,Body Only
Close-Grip Barbell Bench Press,9.1,https://www.bodybuilding.com/exercises/detail/view/name/close-grip-barbell-bench-press,Triceps,Barbell
Close-Grip Dumbbell Press,8.1,https://www.bodybuilding.com/exercises/detail/view/name/close-grip-dumbbell-press,Triceps,Dumbbell
Close-Grip EZ Bar Curl,8.9,https://www.bodybuilding.com/exercises/detail/view/name/close-grip-ez-bar-curl,Biceps,Barbell
Close-Grip EZ-Bar Press,8.8,https://www.bodybuilding.com/exercises/detail/view/name/close-grip-ez-bar-press,Triceps,E-Z Curl Bar
Close-Grip Front Lat Pulldown,8.8,https://www.bodybuilding.com/exercises/detail/view/name/close-grip-front-lat-pulldown,Lats,Cable
Close-Grip Standing Barbell Curl,8.6,https://www.bodybuilding.com/exercises/detail/view/name/close-grip-standing-barbell-curl,Biceps,Barbell
Cobra Triceps Extension,8.3,https://www.bodybuilding.com/exercises/detail/view/name/cobra-triceps-extension,Triceps,Body Only
Cocoons,9.1,https://www.bodybuilding.com/exercises/detail/view/name/cocoons,Abdominals,Body Only
Concentration Curls,9,https://www.bodybuilding.com/exercises/detail/view/name/concentration-curls,Biceps,Dumbbell
Cross Body Hammer Curl,8.9,https://www.bodybuilding.com/exercises/detail/view/name/cross-body-hammer-curl,Biceps,Dumbbell
Cross Over - With Bands,8.3,https://www.bodybuilding.com/exercises/detail/view/name/cross-over-with-bands,Chest,Bands
Cross-Body Crunch,9.1,https://www.bodybuilding.com/exercises/detail/view/name/cross-body-crunch,Abdominals,Body Only
Crunch - Hands Overhead,8.6,https://www.bodybuilding.com/exercises/detail/view/name/crunch-hands-overhead,Abdominals,Body Only
Crunches,8.7,https://www.bodybuilding.com/exercises/detail/view/name/crunches,Abdominals,Body Only
Dead Bug,8.6,https://www.bodybuilding.com/exercises/detail/view/name/dead-bug,Abdominals,Body Only
Deadlift with Bands,8.7,https://www.bodybuilding.com/exercises/detail/view/name/deadlift-with-bands,Lower Back,Barbell
Deadlift with Chains,8.6,https://www.bodybuilding.com/exercises/detail/view/name/deadlift-with-chains,Lower Back,Barbell
Decline Barbell Bench Press,8.9,https://www.bodybuilding.com/exercises/detail/view/name/decline-barbell-bench-press,Chest,Barbell
Decline Close-Grip Bench To Skull Crusher,8.9,https://www.bodybuilding.com/exercises/detail/view/name/decline-close-grip-bench-to-skull-crusher,Triceps,Barbell
Decline Crunch,9,https://www.bodybuilding.com/exercises/detail/view/name/decline-crunch,Abdominals,Body Only
